,height,tss,part,nss,ss
116,3.48,2211.444,2188.097,19.59,3.758
117,3.51,2211.84,2188.498,19.59,3.752
118,3.54,2212.236,2188.9,19.59,3.746
119,3.57,2212.634,2189.304,19.59,3.74
120,3.6,2213.029,2189.705,19.59,3.735
121,3.63,2213.426,2190.108,19.59,3.729
122,3.66,2213.821,2190.508,19.59,3.723
123,3.69,2214.22,2190.912,19.59,3.717
124,3.72,2214.615,2191.314,19.59,3.712
125,3.75,2215.016,2191.72,19.59,3.706
126,3.78,2215.414,2192.124,19.59,3.7
127,3.81,2215.809,2192.525,19.59,3.695
128,3.84,2216.207,2192.928,19.59,3.689
129,3.87,2216.607,2193.335,19.59,3.683
130,3.9,2217.004,2193.736,19.59,3.677
131,3.93,2217.405,2194.144,19.59,3.672
132,3.96,2217.804,2194.548,19.59,3.666
133,3.99,2218.202,2194.952,19.59,3.66
134,4.02,2218.603,2195.358,19.59,3.655
135,4.05,2219.004,2195.765,19.59,3.649
136,4.08,2219.405,2196.172,19.59,3.643
137,4.11,2219.806,2196.579,19.59,3.638
138,4.14,2220.207,2196.985,19.59,3.632
139,4.17,2220.606,2197.39,19.59,3.626
140,4.2,2221.011,2197.801,19.59,3.621
141,4.23,2221.411,2198.206,19.59,3.615
142,4.26,2221.813,2198.614,19.59,3.609
143,4.29,2222.215,2199.021,19.59,3.604
144,4.32,2222.617,2199.429,19.59,3.598
145,4.35,2223.02,2199.838,19.59,3.592
146,4.38,2223.422,2200.245,19.59,3.587
147,4.41,2223.826,2200.655,19.59,3.581
148,4.44,2224.231,2201.066,19.59,3.576
149,4.47,2224.634,2201.474,19.59,3.57
150,4.5,2225.037,2201.883,19.59,3.564
151,4.53,2225.443,2202.294,19.59,3.559
152,4.56,2225.846,2202.703,19.59,3.553
153,4.59,2226.251,2203.114,19.59,3.547
154,4.62,2226.655,2203.524,19.59,3.542
155,4.65,2227.06,2203.934,19.59,3.536
156,4.68,2227.467,2204.347,19.59,3.531
157,4.71,2227.873,2204.758,19.59,3.525
158,4.74,2228.278,2205.169,19.59,3.52
159,4.77,2228.685,2205.581,19.59,3.514
160,4.8,2229.09,2205.992,19.59,3.508
161,4.83,2229.499,2206.407,19.59,3.503
162,4.86,2229.906,2206.819,19.59,3.497
163,4.89,2230.311,2207.23,19.59,3.492
164,4.92,2230.721,2207.645,19.59,3.486
165,4.95,2231.106,2208.035,19.59,3.481
166,4.98,2231.477,2208.412,19.59,3.475
167,5.01,2231.839,2208.779,19.59,3.47
168,5.04,2232.193,2209.139,19.59,3.464
169,5.07,2232.538,2209.49,19.59,3.458
170,5.1,2232.878,2209.836,19.59,3.453
171,5.13,2233.216,2210.179,19.59,3.447
172,5.16,2233.544,2210.512,19.59,3.442
173,5.19,2233.869,2210.843,19.59,3.436
174,5.22,2234.189,2211.169,19.59,3.431
175,5.25,2234.507,2211.492,19.59,3.425
176,5.28,2234.819,2211.81,19.59,3.42
177,5.31,2235.113,2212.109,19.59,3.414
178,5.34,2235.391,2212.392,19.59,3.409
179,5.37,2235.66,2212.667,19.59,3.403
180,5.4,2235.919,2212.931,19.59,3.398
181,5.43,2236.171,2213.189,19.59,3.392
182,5.46,2236.418,2213.441,19.59,3.387
183,5.49,2236.658,2213.687,19.59,3.382
184,5.52,2236.891,2213.925,19.59,3.376
185,5.55,2237.124,2214.163,19.59,3.371
186,5.58,2237.352,2214.397,19.59,3.365
187,5.61,2237.575,2214.626,19.59,3.36
188,5.64,2237.798,2214.854,19.59,3.354
189,5.67,2238.016,2215.077,19.59,3.349
190,5.7,2238.232,2215.299,19.59,3.343
191,5.73,2238.45,2215.522,19.59,3.338
192,5.76,2238.664,2215.741,19.59,3.333
