height;Total slice surface (mm?);Part (mm?);Non solid support (mm?);Solid support (mm?)
1,020;2205,388;2181,552;19,590;4,246
1,050;2205,382;2181,552;19,590;4,240
1,080;2205,376;2181,553;19,590;4,233
1,110;2205,367;2181,550;19,590;4,227
1,140;2205,364;2181,553;19,590;4,221
1,170;2205,357;2181,552;19,590;4,215
1,200;2205,351;2181,552;19,590;4,209
1,230;2205,342;2181,549;19,590;4,203
1,260;2205,340;2181,553;19,590;4,197
1,290;2205,332;2181,552;19,590;4,191
1,320;2205,326;2181,551;19,590;4,185
1,350;2205,321;2181,553;19,590;4,178
1,380;2205,314;2181,551;19,590;4,172
1,410;2205,306;2181,550;19,590;4,166
1,440;2205,301;2181,551;19,590;4,160
1,470;2205,295;2181,551;19,590;4,154
1,500;2205,287;2181,549;19,590;4,148
1,530;2205,284;2181,552;19,590;4,142
1,560;2205,277;2181,551;19,590;4,136
1,590;2205,267;2181,548;19,590;4,130
1,620;2205,265;2181,551;19,590;4,124
1,650;2205,258;2181,550;19,590;4,118
1,680;2205,252;2181,551;19,590;4,112
1,710;2205,247;2181,551;19,590;4,106
1,740;2205,242;2181,552;19,590;4,100
1,770;2205,234;2181,550;19,590;4,094
1,800;2205,229;2181,552;19,590;4,088
1,830;2205,222;2181,551;19,590;4,082
1,860;2205,216;2181,551;19,590;4,076
1,890;2205,212;2181,552;19,590;4,070
1,920;2205,206;2181,552;19,590;4,064
1,950;2205,198;2181,551;19,590;4,058
1,980;2205,192;2181,551;19,590;4,052
2,010;2205,188;2181,552;19,590;4,046
2,040;2205,182;2181,553;19,590;4,040
2,070;2205,176;2181,553;19,590;4,034
2,100;2205,170;2181,552;19,590;4,028
2,130;2205,166;2181,554;19,590;4,022
2,160;2205,160;2181,554;19,590;4,016
2,190;2205,152;2181,552;19,590;4,010
2,220;2205,146;2181,552;19,590;4,004
2,250;2205,140;2181,552;19,590;3,998
2,280;2205,135;2181,553;19,590;3,992
2,310;2205,131;2181,555;19,590;3,986
2,340;2205,125;2181,555;19,590;3,980
2,370;2205,120;2181,556;19,590;3,974
2,400;2205,114;2181,556;19,590;3,968
2,430;2205,109;2181,557;19,590;3,962
2,460;2205,105;2181,559;19,590;3,956
2,490;2205,097;2181,556;19,590;3,950
2,520;2205,091;2181,557;19,590;3,944
2,550;2205,086;2181,558;19,590;3,939
2,580;2205,081;2181,558;19,590;3,933
2,610;2205,075;2181,558;19,590;3,927
2,640;2205,069;2181,559;19,590;3,921
2,670;2205,061;2181,556;19,590;3,915
2,700;2205,060;2181,561;19,590;3,909
2,730;2205,055;2181,562;19,590;3,903
2,760;2205,049;2181,562;19,590;3,897
2,790;2205,041;2181,560;19,590;3,891
2,820;2205,039;2181,563;19,590;3,886
2,850;2205,030;2181,561;19,590;3,880
2,880;2205,026;2181,562;19,590;3,874
2,910;2205,023;2181,565;19,590;3,868
2,940;2205,015;2181,563;19,590;3,862
2,970;2205,012;2181,566;19,590;3,856
3,000;2205,153;2181,713;19,590;3,851
3,030;2205,544;2182,109;19,590;3,845
3,060;2205,935;2182,506;19,590;3,839
3,090;2206,329;2182,906;19,590;3,833
3,120;2206,721;2183,304;19,590;3,827
3,150;2207,112;2183,700;19,590;3,821
3,180;2207,506;2184,100;19,590;3,816
3,210;2207,897;2184,497;19,590;3,810
3,240;2208,291;2184,898;19,590;3,804
3,270;2208,684;2185,296;19,590;3,798
3,300;2209,077;2185,695;19,590;3,792
3,330;2209,470;2186,094;19,590;3,787
3,360;2209,866;2186,495;19,590;3,781
3,390;2210,260;2186,895;19,590;3,775
3,420;2210,655;2187,296;19,590;3,769
3,450;2211,052;2187,698;19,590;3,763
3,480;2211,444;2188,097;19,590;3,758
3,510;2211,840;2188,498;19,590;3,752
3,540;2212,236;2188,900;19,590;3,746
3,570;2212,634;2189,304;19,590;3,740
3,600;2213,029;2189,705;19,590;3,735
3,630;2213,426;2190,108;19,590;3,729
3,660;2213,821;2190,508;19,590;3,723
3,690;2214,220;2190,912;19,590;3,717
3,720;2214,615;2191,314;19,590;3,712
3,750;2215,016;2191,720;19,590;3,706
3,780;2215,414;2192,124;19,590;3,700
3,810;2215,809;2192,525;19,590;3,695
3,840;2216,207;2192,928;19,590;3,689
3,870;2216,607;2193,335;19,590;3,683
3,900;2217,004;2193,736;19,590;3,677
3,930;2217,405;2194,144;19,590;3,672
3,960;2217,804;2194,548;19,590;3,666
3,990;2218,202;2194,952;19,590;3,660
4,020;2218,603;2195,358;19,590;3,655
4,050;2219,004;2195,765;19,590;3,649
4,080;2219,405;2196,172;19,590;3,643
4,110;2219,806;2196,579;19,590;3,638
4,140;2220,207;2196,985;19,590;3,632
4,170;2220,606;2197,390;19,590;3,626
4,200;2221,011;2197,801;19,590;3,621
4,230;2221,411;2198,206;19,590;3,615
4,260;2221,813;2198,614;19,590;3,609
4,290;2222,215;2199,021;19,590;3,604
4,320;2222,617;2199,429;19,590;3,598
4,350;2223,020;2199,838;19,590;3,592
4,380;2223,422;2200,245;19,590;3,587
4,410;2223,826;2200,655;19,590;3,581
4,440;2224,231;2201,066;19,590;3,576
4,470;2224,634;2201,474;19,590;3,570
4,500;2225,037;2201,883;19,590;3,564
4,530;2225,443;2202,294;19,590;3,559
4,560;2225,846;2202,703;19,590;3,553
4,590;2226,251;2203,114;19,590;3,547
4,620;2226,655;2203,524;19,590;3,542
4,650;2227,060;2203,934;19,590;3,536
4,680;2227,467;2204,347;19,590;3,531
4,710;2227,873;2204,758;19,590;3,525
4,740;2228,278;2205,169;19,590;3,520
4,770;2228,685;2205,581;19,590;3,514
4,800;2229,090;2205,992;19,590;3,508
4,830;2229,499;2206,407;19,590;3,503
4,860;2229,906;2206,819;19,590;3,497
4,890;2230,311;2207,230;19,590;3,492
4,920;2230,721;2207,645;19,590;3,486
4,950;2231,106;2208,035;19,590;3,481
4,980;2231,477;2208,412;19,590;3,475
5,010;2231,839;2208,779;19,590;3,470
5,040;2232,193;2209,139;19,590;3,464
5,070;2232,538;2209,490;19,590;3,458
5,100;2232,878;2209,836;19,590;3,453
5,130;2233,216;2210,179;19,590;3,447
5,160;2233,544;2210,512;19,590;3,442
5,190;2233,869;2210,843;19,590;3,436
5,220;2234,189;2211,169;19,590;3,431
5,250;2234,507;2211,492;19,590;3,425
5,280;2234,819;2211,810;19,590;3,420
5,310;2235,113;2212,109;19,590;3,414
5,340;2235,391;2212,392;19,590;3,409
5,370;2235,660;2212,667;19,590;3,403
5,400;2235,919;2212,931;19,590;3,398
5,430;2236,171;2213,189;19,590;3,392
5,460;2236,418;2213,441;19,590;3,387
5,490;2236,658;2213,687;19,590;3,382
5,520;2236,891;2213,925;19,590;3,376
5,550;2237,124;2214,163;19,590;3,371
5,580;2237,352;2214,397;19,590;3,365
5,610;2237,575;2214,626;19,590;3,360
5,640;2237,798;2214,854;19,590;3,354
5,670;2238,016;2215,077;19,590;3,349
5,700;2238,232;2215,299;19,590;3,343
5,730;2238,450;2215,522;19,590;3,338
5,760;2238,664;2215,741;19,590;3,333
5,790;2238,878;2215,961;19,590;3,327
5,820;2239,094;2216,182;19,590;3,322
5,850;2239,311;2216,404;19,590;3,316
5,880;2239,528;2216,627;19,590;3,311
5,910;2239,745;2216,850;19,590;3,306
5,940;2239,968;2217,078;19,590;3,300
5,970;2240,198;2217,314;19,590;3,295
6,000;2240,435;2217,556;19,590;3,289
6,030;2240,678;2217,804;19,590;3,284
6,060;2240,922;2218,053;19,590;3,279
6,090;2241,171;2218,308;19,590;3,273
6,120;2241,419;2218,561;19,590;3,268
6,150;2241,672;2218,819;19,590;3,263
6,180;2241,925;2219,078;19,590;3,257
6,210;2242,179;2219,337;19,590;3,252
6,240;2242,435;2219,599;19,590;3,246
6,270;2242,689;2219,858;19,590;3,241
6,300;2242,946;2220,121;19,590;3,236
6,330;2243,202;2220,382;19,590;3,230
6,360;2243,459;2220,644;19,590;3,225
6,390;2243,716;2220,906;19,590;3,220
6,420;2243,972;2221,168;19,590;3,214
6,450;2244,229;2221,430;19,590;3,209
6,480;2244,484;2221,690;19,590;3,204
6,510;2244,738;2221,949;19,590;3,199
6,540;2244,917;2222,134;19,590;3,193
6,570;2244,681;2221,903;19,590;3,188
6,600;2244,407;2221,635;19,590;3,183
6,630;2244,024;2221,256;19,590;3,177
6,660;2243,269;2220,508;19,590;3,172
6,690;2242,410;2219,653;19,590;3,167
6,720;2241,349;2218,598;19,590;3,161
6,750;2239,946;2217,200;19,590;3,156
6,780;2238,312;2215,572;19,590;3,151
6,810;2236,422;2213,686;19,590;3,146
6,840;2233,993;2211,263;19,590;3,140
6,870;2231,213;2208,488;19,590;3,135
6,900;2227,731;2205,011;19,590;3,130
6,930;2223,303;2200,588;19,590;3,125
6,960;2217,170;2194,461;19,590;3,119
6,990;1889,403;1866,699;19,590;3,114
7,020;1844,536;1821,837;19,590;3,109
7,050;1826,036;1803,342;19,590;3,104
7,080;1811,994;1789,306;19,590;3,098
7,110;1800,019;1777,336;19,590;3,093
7,140;1789,398;1766,720;19,590;3,088
7,170;1779,963;1757,291;19,590;3,083
7,200;1771,196;1748,529;19,590;3,078
7,230;1763,105;1740,443;19,590;3,072
7,260;1755,589;1732,932;19,590;3,067
7,290;1748,388;1725,736;19,590;3,062
7,320;1741,606;1718,960;19,590;3,057
7,350;1735,205;1712,564;19,590;3,052
7,380;1729,103;1706,467;19,590;3,046
7,410;1723,181;1700,550;19,590;3,041
7,440;1717,500;1694,874;19,590;3,036
7,470;1712,010;1689,389;19,590;3,031
7,500;1706,715;1684,099;19,590;3,026
7,530;1701,568;1678,957;19,590;3,021
7,560;1696,552;1673,947;19,590;3,015
7,590;1685,402;1662,802;19,590;3,010
7,620;1676,400;1653,805;19,590;3,005
7,650;1668,926;1646,336;19,590;3,000
7,680;1662,320;1639,735;19,590;2,995
7,710;1656,039;1633,460;19,590;2,990
7,740;1650,198;1627,623;19,590;2,985
7,770;1644,505;1621,935;19,590;2,980
7,800;1639,069;1616,505;19,590;2,974
7,830;1633,737;1611,178;19,590;2,969
7,860;1628,541;1605,987;19,590;2,964
7,890;1623,539;1600,990;19,590;2,959
7,920;1618,673;1596,129;19,590;2,954
7,950;1613,923;1591,384;19,590;2,949
7,980;1609,236;1586,703;19,590;2,944
8,010;1604,718;1582,189;19,590;2,939
8,040;1600,340;1577,816;19,590;2,934
8,070;1596,021;1573,502;19,590;2,929
8,100;1591,749;1569,236;19,590;2,924
8,130;1587,575;1565,067;19,590;2,919
8,160;1583,556;1561,053;19,590;2,913
8,190;1579,608;1557,110;19,590;2,908
8,220;1575,691;1553,198;19,590;2,903
8,250;1571,829;1549,340;19,590;2,898
8,280;1568,065;1545,582;19,590;2,893
8,310;1564,336;1541,858;19,590;2,888
8,340;1560,628;1538,156;19,590;2,883
8,370;1556,932;1534,464;19,590;2,878
8,400;1553,335;1530,872;19,590;2,873
8,430;1549,733;1527,275;19,590;2,868
8,460;1546,120;1523,667;19,590;2,863
8,490;1542,427;1519,979;19,590;2,858
8,520;1538,266;1515,823;19,590;2,853
8,550;1535,065;1512,627;19,590;2,848
8,580;1532,917;1510,484;19,590;2,843
8,610;1530,809;1508,382;19,590;2,838
8,640;1528,760;1506,337;19,590;2,833
8,670;1526,773;1504,355;19,590;2,828
8,700;1524,832;1502,419;19,590;2,823
8,730;1522,930;1500,522;19,590;2,818
8,760;1521,076;1498,673;19,590;2,813
8,790;1519,276;1496,878;19,590;2,808
8,820;1517,515;1495,122;19,590;2,803
8,850;1515,785;1493,397;19,590;2,798
8,880;1514,094;1491,711;19,590;2,793
8,910;1512,448;1490,069;19,590;2,788
8,940;1510,844;1488,470;19,590;2,784
8,970;1509,268;1486,899;19,590;2,779
9,000;1507,713;1485,349;19,590;2,774
9,030;1506,189;1483,831;19,590;2,769
9,060;1504,731;1482,377;19,590;2,764
9,090;1503,332;1480,983;19,590;2,759
9,120;1501,953;1479,610;19,590;2,754
9,150;1500,596;1478,257;19,590;2,749
9,180;1499,257;1476,923;19,590;2,744
9,210;1497,948;1475,619;19,590;2,739
9,240;1496,687;1474,362;19,590;2,734
9,270;1495,504;1473,185;19,590;2,730
9,300;1494,345;1472,031;19,590;2,725
9,330;1493,213;1470,903;19,590;2,720
9,360;1492,110;1469,806;19,590;2,715
9,390;1491,038;1468,738;19,590;2,710
9,420;1489,996;1467,701;19,590;2,705
9,450;1488,986;1466,696;19,590;2,700
9,480;1488,008;1465,722;19,590;2,695
9,510;1487,079;1464,798;19,590;2,690
9,540;1486,202;1463,927;19,590;2,686
9,570;1485,347;1463,076;19,590;2,681
9,600;1484,508;1462,242;19,590;2,676
9,630;1483,688;1461,427;19,590;2,671
9,660;1482,872;1460,616;19,590;2,666
9,690;1482,055;1459,804;19,590;2,661
9,720;1481,265;1459,019;19,590;2,657
9,750;1480,470;1458,229;19,590;2,652
9,780;1479,680;1457,443;19,590;2,647
9,810;1478,622;1456,390;19,590;2,642
9,840;1477,440;1455,213;19,590;2,637
9,870;1476,251;1454,028;19,590;2,633
9,900;1475,072;1452,854;19,590;2,628
9,930;1473,926;1451,713;19,590;2,623
9,960;1472,854;1450,646;19,590;2,618
9,990;1471,780;1449,577;19,590;2,613
10,020;1470,703;1448,504;19,590;2,609
10,050;1469,641;1447,447;19,590;2,604
10,080;1468,579;1446,391;19,590;2,599
10,110;1467,535;1445,351;19,590;2,594
10,140;1466,526;1444,347;19,590;2,590
10,170;1465,552;1443,377;19,590;2,585
10,200;1464,616;1442,446;19,590;2,580
10,230;1463,694;1441,529;19,590;2,575
10,260;1462,799;1440,638;19,590;2,571
10,290;1461,969;1439,813;19,590;2,566
10,320;1461,150;1438,999;19,590;2,561
10,350;1460,371;1438,225;19,590;2,556
10,380;1459,601;1437,459;19,590;2,552
10,410;1458,843;1436,706;19,590;2,547
10,440;1458,116;1435,984;19,590;2,542
10,470;1457,406;1435,279;19,590;2,537
10,500;1456,887;1434,764;19,590;2,533
10,530;1456,403;1434,285;19,590;2,528
10,560;1455,930;1433,817;19,590;2,523
10,590;1455,460;1433,352;19,590;2,519
10,620;1454,997;1432,893;19,590;2,514
10,650;1454,552;1432,452;19,590;2,509
10,680;1454,129;1432,035;19,590;2,505
10,710;1453,712;1431,622;19,590;2,500
10,740;1453,312;1431,227;19,590;2,495
10,770;1452,919;1430,839;19,590;2,491
10,800;1452,533;1430,457;19,590;2,486
10,830;1452,175;1430,104;19,590;2,481
10,860;1451,827;1429,761;19,590;2,477
10,890;1451,480;1429,418;19,590;2,472
10,920;1451,149;1429,092;19,590;2,467
10,950;1450,830;1428,777;19,590;2,463
10,980;1450,517;1428,469;19,590;2,458
11,010;1450,230;1428,186;19,590;2,453
11,040;1449,947;1427,908;19,590;2,449
11,070;1449,687;1427,652;19,590;2,444
11,100;1449,447;1427,418;19,590;2,440
11,130;1449,205;1427,183;19,587;2,435
11,160;1448,961;1426,944;19,586;2,430
11,190;1448,721;1426,710;19,585;2,426
11,220;1448,476;1426,471;19,584;2,421
11,250;1448,232;1426,233;19,583;2,417
11,280;1447,985;1425,995;19,578;2,412
11,310;1447,737;1425,760;19,570;2,407
11,340;1447,503;1425,538;19,562;2,403
11,370;1447,299;1425,344;19,557;2,398
11,400;1447,094;1425,147;19,553;2,394
11,430;1446,889;1424,951;19,549;2,389
11,460;1446,676;1424,749;19,542;2,385
11,490;1446,465;1424,546;19,539;2,380
11,520;1446,258;1424,347;19,536;2,376
11,550;1446,065;1424,161;19,533;2,371
11,580;1445,894;1423,997;19,531;2,366
11,610;1445,725;1423,834;19,529;2,362
11,640;1445,563;1423,679;19,527;2,357
11,670;1445,403;1423,525;19,525;2,353
11,700;1445,248;1423,377;19,523;2,348
11,730;1445,090;1423,227;19,520;2,344
11,760;1444,942;1423,086;19,517;2,339
11,790;1444,809;1422,960;19,514;2,335
11,820;1444,685;1422,844;19,511;2,330
11,850;1444,560;1422,731;19,503;2,326
11,880;1444,436;1422,621;19,493;2,321
11,910;1444,316;1422,517;19,483;2,317
11,940;1444,204;1422,420;19,472;2,312
11,970;1444,096;1422,327;19,462;2,308
12,000;1443,999;1422,240;19,455;2,303
12,030;1443,909;1422,159;19,451;2,299
12,060;1443,827;1422,086;19,447;2,294
12,090;1443,752;1422,019;19,443;2,290
12,120;1443,690;1421,965;19,439;2,285
12,150;1443,641;1421,927;19,435;2,279
12,180;1443,596;1421,893;19,431;2,272
12,210;1443,554;1421,864;19,426;2,264
12,240;1443,511;1421,836;19,420;2,255
12,270;1443,469;1421,809;19,413;2,247
12,300;1443,428;1421,782;19,407;2,239
12,330;1443,389;1421,758;19,401;2,230
12,360;1443,363;1421,746;19,394;2,222
12,390;1443,358;1421,756;19,387;2,214
12,420;1443,364;1421,779;19,379;2,206
12,450;1443,379;1421,813;19,368;2,198
12,480;1443,399;1421,858;19,352;2,190
12,510;1104,156;1082,638;19,336;2,182
12,540;1104,191;1082,692;19,324;2,174
12,570;1104,234;1082,750;19,317;2,167
12,600;1104,282;1082,810;19,313;2,159
12,630;1104,331;1082,871;19,309;2,151
12,660;1104,388;1082,939;19,305;2,144
12,690;1104,454;1083,015;19,302;2,136
12,720;1104,530;1083,103;19,299;2,129
12,750;1104,609;1083,197;19,293;2,120
12,780;1104,712;1083,323;19,280;2,110
12,810;1104,818;1083,452;19,266;2,100
12,840;1104,929;1083,585;19,253;2,090
12,870;1105,047;1083,719;19,247;2,080
12,900;1105,162;1083,853;19,239;2,070
12,930;1105,272;1083,993;19,220;2,059
12,960;1105,386;1084,140;19,197;2,049
12,990;1105,522;1084,308;19,175;2,038
13,020;1105,670;1084,485;19,157;2,027
13,050;1105,825;1084,663;19,145;2,017
13,080;1105,985;1084,842;19,137;2,006
13,110;1106,151;1085,026;19,129;1,996
13,140;1106,315;1085,208;19,122;1,985
13,170;1106,486;1085,397;19,115;1,974
13,200;1106,663;1085,592;19,108;1,963
13,230;1106,846;1085,795;19,102;1,949
13,260;1107,031;1086,003;19,093;1,935
13,290;1107,222;1086,212;19,084;1,925
13,320;1107,419;1086,424;19,075;1,920
13,350;1107,619;1086,639;19,066;1,914
13,380;1107,816;1086,852;19,057;1,908
13,410;1108,016;1087,069;19,047;1,900
13,440;1108,224;1087,294;19,038;1,892
13,470;1108,439;1087,527;19,028;1,884
13,500;1108,658;1087,764;19,018;1,876
13,530;1108,881;1088,005;19,008;1,868
13,560;1109,110;1088,249;19,001;1,860
13,590;1109,342;1088,495;18,996;1,852
13,620;1109,578;1088,744;18,990;1,844
13,650;1109,814;1088,994;18,984;1,836
13,680;1110,060;1089,254;18,978;1,828
13,710;1110,304;1089,520;18,964;1,820
13,740;1110,551;1089,792;18,947;1,813
13,770;1110,802;1090,066;18,931;1,805
13,800;1111,062;1090,342;18,923;1,798
13,830;1111,327;1090,622;18,915;1,790
13,860;1111,593;1090,903;18,907;1,783
13,890;1111,864;1091,190;18,898;1,775
13,920;1112,142;1091,484;18,890;1,768
13,950;1112,428;1091,788;18,879;1,761
13,980;1112,716;1092,094;18,868;1,754
14,010;1113,004;1092,404;18,853;1,747
14,040;1113,295;1092,717;18,838;1,740
14,070;1113,588;1093,034;18,821;1,733
14,100;1113,882;1093,351;18,805;1,726
14,130;1114,181;1093,680;18,782;1,719
14,160;1114,486;1094,016;18,758;1,712
14,190;1114,807;1094,359;18,742;1,706
14,220;1115,136;1094,705;18,731;1,699
14,250;1115,461;1095,055;18,713;1,692
14,280;1115,788;1095,406;18,695;1,686
14,310;1116,119;1095,762;18,678;1,680
14,340;1116,462;1096,120;18,668;1,673
14,370;1116,821;1096,491;18,663;1,667
14,400;1117,189;1096,872;18,658;1,659
14,430;1117,555;1097,252;18,654;1,649
14,460;1117,921;1097,635;18,649;1,638
14,490;1118,289;1098,023;18,641;1,625
14,520;1118,667;1098,415;18,633;1,618
14,550;1119,046;1098,810;18,621;1,615
14,580;1119,432;1099,214;18,606;1,612
14,610;1119,823;1099,624;18,589;1,609
14,640;1120,213;1100,040;18,567;1,606
14,670;1120,613;1100,463;18,547;1,603
14,700;1121,026;1100,890;18,537;1,600
14,730;1121,445;1101,322;18,526;1,597
14,760;1121,866;1101,756;18,516;1,594
14,790;1122,297;1102,201;18,506;1,591
14,820;1122,737;1102,654;18,496;1,587
14,850;1123,183;1103,113;18,485;1,584
14,880;1123,632;1103,576;18,474;1,581
14,910;1124,085;1104,046;18,461;1,578
14,940;1124,533;1104,521;18,437;1,575
14,970;1124,980;1105,003;18,404;1,572
15,000;1125,426;1105,496;18,361;1,569
15,030;1125,888;1105,999;18,322;1,566
15,060;1126,366;1106,504;18,299;1,563
15,090;1126,851;1107,014;18,277;1,560
15,120;1127,344;1107,530;18,257;1,557
15,150;1127,839;1108,048;18,237;1,554
15,180;1128,343;1108,574;18,217;1,551
15,210;1128,859;1109,117;18,195;1,547
15,240;1129,388;1109,672;18,174;1,542
15,270;1129,922;1110,230;18,156;1,536
15,300;1130,461;1110,793;18,139;1,529
15,330;1131,001;1111,363;18,116;1,522
15,360;1131,548;1111,937;18,096;1,515
15,390;1132,106;1112,521;18,077;1,508
15,420;1132,684;1113,122;18,061;1,501
15,450;1133,270;1113,727;18,049;1,494
15,480;1133,864;1114,340;18,037;1,487
15,510;1134,455;1114,956;18,019;1,480
15,540;1135,049;1115,579;17,996;1,474
15,570;1135,651;1116,211;17,973;1,467
15,600;1136,266;1116,858;17,947;1,461
15,630;1136,892;1117,517;17,922;1,454
15,660;1137,523;1118,182;17,893;1,448
15,690;1138,161;1118,858;17,864;1,439
15,720;1138,809;1119,540;17,840;1,429
15,750;1139,466;1120,232;17,817;1,417
15,780;1140,140;1120,939;17,795;1,405
15,810;1140,822;1121,659;17,770;1,394
15,840;1141,513;1122,385;17,747;1,382
15,870;1142,212;1123,120;17,722;1,370
15,900;1142,910;1123,860;17,693;1,358
15,930;1143,619;1124,606;17,667;1,346
15,960;1144,347;1125,375;17,638;1,334
15,990;1145,099;1126,159;17,618;1,322
16,020;1145,859;1126,948;17,600;1,311
16,050;1146,633;1127,748;17,587;1,299
16,080;1147,409;1128,555;17,567;1,288
16,110;1148,188;1129,368;17,543;1,276
16,140;1148,998;1130,216;17,517;1,265
16,170;1149,824;1131,072;17,498;1,254
16,200;1150,656;1131,936;17,477;1,243
16,230;1151,478;1132,804;17,444;1,230
16,260;1152,302;1133,676;17,409;1,217
16,290;1153,146;1134,567;17,378;1,201
16,320;1153,998;1135,490;17,324;1,184
16,350;1154,878;1136,418;17,291;1,169
16,380;1155,660;1137,353;17,146;1,161
16,410;1156,452;1138,294;17,004;1,154
16,440;1157,252;1139,253;16,853;1,146
16,470;1158,098;1140,231;16,728;1,138
16,500;1158,938;1141,232;16,576;1,131
16,530;1159,764;1142,246;16,395;1,123
16,560;1160,592;1143,266;16,211;1,115
16,590;1161,459;1144,297;16,054;1,108
16,620;1162,305;1145,344;15,860;1,101
16,650;1163,138;1146,422;15,623;1,093
16,680;1163,998;1147,517;15,395;1,086
16,710;1164,858;1148,628;15,152;1,078
16,740;1165,754;1149,748;14,938;1,068
16,770;1166,619;1150,877;14,685;1,056
16,800;1167,510;1152,028;14,440;1,043
16,830;1168,432;1153,206;14,191;1,034
16,860;1169,265;1154,406;13,830;1,028
16,890;1170,116;1155,618;13,477;1,022
16,920;1170,989;1156,843;13,130;1,016
16,950;1171,920;1158,099;12,811;1,010
16,980;1172,869;1159,381;12,484;1,004
17,010;1173,845;1160,687;12,159;0,998
17,040;1174,876;1162,003;11,880;0,992
17,070;1175,946;1163,342;11,617;0,987
17,100;1177,051;1164,716;11,354;0,981
17,130;1178,216;1166,138;11,103;0,975
17,160;1179,394;1167,578;10,846;0,970
17,190;1180,572;1169,033;10,575;0,964
17,220;1181,728;1170,496;10,274;0,959
17,250;1182,935;1171,965;10,017;0,953
17,280;1184,113;1173,361;9,803;0,948
17,310;1185,228;1174,707;9,579;0,943
17,340;1186,294;1176,012;9,344;0,938
17,370;1187,291;1177,236;9,124;0,932
17,400;1188,262;1178,415;8,923;0,925
17,430;1189,217;1179,579;8,720;0,918
17,460;1190,140;1180,685;8,544;0,911
17,490;1190,992;1181,755;8,333;0,904
17,520;1191,805;1182,807;8,101;0,896
17,550;1192,623;1183,827;7,908;0,889
17,580;1193,424;1184,810;7,734;0,881
17,610;1194,211;1185,767;7,570;0,873
17,640;1195,008;1186,706;7,437;0,866
17,670;1195,787;1187,621;7,307;0,859
17,700;1196,529;1188,504;7,174;0,851
17,730;1197,244;1189,374;7,026;0,844
17,760;1197,940;1190,230;6,872;0,837
17,790;1198,612;1191,072;6,711;0,830
17,820;1199,248;1191,888;6,539;0,822
17,850;1199,872;1192,679;6,380;0,812
17,880;1200,505;1193,467;6,237;0,802
17,910;1201,130;1194,249;6,089;0,792
17,940;1201,765;1195,033;5,941;0,791
17,970;1202,387;1195,814;5,786;0,788
18,000;1203,025;1196,602;5,639;0,784
18,030;1203,656;1197,393;5,485;0,778
18,060;1204,307;1198,188;5,347;0,772
18,090;1204,958;1198,980;5,211;0,767
18,120;1205,625;1199,776;5,088;0,761
18,150;1206,297;1200,569;4,972;0,756
18,180;1206,986;1201,366;4,871;0,750
18,210;1207,650;1202,160;4,748;0,742
18,240;1208,308;1202,959;4,615;0,734
18,270;1208,962;1203,768;4,471;0,723
18,300;1209,583;1204,574;4,299;0,710
18,330;1210,196;1205,383;4,116;0,697
18,360;1210,781;1206,192;3,906;0,684
18,390;1211,380;1207,002;3,707;0,670
18,420;1211,959;1207,811;3,491;0,657
18,450;1212,558;1208,622;3,292;0,645
18,480;1213,171;1209,444;3,096;0,632
18,510;1213,810;1210,272;2,919;0,619
18,540;1214,444;1211,096;2,740;0,607
18,570;1215,078;1211,925;2,560;0,593
18,600;1215,710;1212,752;2,380;0,578
18,630;1216,369;1213,581;2,227;0,561
18,660;1217,044;1214,412;2,088;0,543
18,690;1217,713;1215,250;1,938;0,525
18,720;1218,394;1216,099;1,788;0,507
18,750;1219,107;1216,945;1,673;0,490
18,780;1219,821;1217,794;1,556;0,471
18,810;1220,557;1218,645;1,459;0,452
18,840;1221,299;1219,499;1,367;0,433
18,870;1222,072;1220,366;1,293;0,413
18,900;1222,849;1221,241;1,215;0,392
18,930;1223,640;1222,115;1,154;0,371
18,960;1224,468;1222,992;1,127;0,350
18,990;1225,301;1223,869;1,104;0,328
19,020;1226,157;1224,768;1,083;0,306
19,050;1227,008;1225,667;1,059;0,282
19,080;1227,864;1226,569;1,037;0,258
19,110;1228,725;1227,474;1,016;0,236
19,140;1229,619;1228,405;0,994;0,220
19,170;1230,515;1229,340;0,970;0,205
19,200;1231,419;1230,281;0,949;0,189
19,230;1232,336;1231,233;0,931;0,172
19,260;1233,261;1232,191;0,915;0,155
19,290;1234,207;1233,174;0,900;0,134
19,320;1235,162;1234,165;0,885;0,112
19,350;1236,122;1235,163;0,865;0,094
19,380;1237,076;1236,160;0,838;0,079
19,410;1237,962;1237,078;0,815;0,069
19,440;1238,810;1237,958;0,789;0,063
19,470;1239,617;1238,802;0,758;0,057
19,500;1240,410;1239,618;0,741;0,051
19,530;1241,172;1240,411;0,715;0,046
19,560;1241,918;1241,186;0,693;0,040
19,590;1242,644;1241,940;0,669;0,035
19,620;1243,346;1242,676;0,642;0,029
19,650;1244,034;1243,397;0,615;0,022
19,680;1244,706;1244,101;0,591;0,013
19,710;1245,360;1244,793;0,562;0,004
19,740;1246,008;1245,473;0,535;0,000
19,770;1246,638;1246,136;0,503;0,000
19,800;1247,232;1246,783;0,449;0,000
19,830;1247,818;1247,417;0,401;0,000
19,860;1248,415;1248,045;0,370;0,000
19,890;1248,997;1248,661;0,335;0,000
19,920;1249,558;1249,254;0,304;0,000
19,950;1250,122;1249,842;0,279;0,000
19,980;1250,654;1250,417;0,237;0,000
20,010;1251,181;1250,973;0,209;0,000
