height;Total slice surface (mm?);Part (mm?);Non solid support (mm?);Solid support (mm?)
31,530;1049,947;1049,947;0,000;0,000
31,560;1049,350;1049,350;0,000;0,000
31,590;1048,775;1048,775;0,000;0,000
31,620;1048,225;1048,225;0,000;0,000
31,650;1047,718;1047,718;0,000;0,000
31,680;1047,234;1047,234;0,000;0,000
31,710;1046,770;1046,770;0,000;0,000
31,740;1046,289;1046,289;0,000;0,000
31,770;1045,822;1045,822;0,000;0,000
31,800;1045,361;1045,361;0,000;0,000
31,830;1044,899;1044,899;0,000;0,000
31,860;1044,439;1044,439;0,000;0,000
31,890;1043,994;1043,994;0,000;0,000
31,920;1043,571;1043,571;0,000;0,000
31,950;1043,161;1043,161;0,000;0,000
31,980;1042,755;1042,755;0,000;0,000
32,010;1042,356;1042,356;0,000;0,000
32,040;1041,970;1041,970;0,000;0,000
32,070;1041,600;1041,600;0,000;0,000
32,100;1041,248;1041,248;0,000;0,000
32,130;1040,907;1040,907;0,000;0,000
32,160;1040,572;1040,572;0,000;0,000
32,190;1040,242;1040,242;0,000;0,000
32,220;1039,937;1039,937;0,000;0,000
32,250;1039,651;1039,651;0,000;0,000
32,280;1039,363;1039,363;0,000;0,000
32,310;1039,084;1039,084;0,000;0,000
32,340;1038,830;1038,830;0,000;0,000
32,370;1038,580;1038,580;0,000;0,000
32,400;1038,341;1038,341;0,000;0,000
32,430;1038,120;1038,120;0,000;0,000
32,460;1037,913;1037,913;0,000;0,000
32,490;1037,713;1037,713;0,000;0,000
32,520;1037,521;1037,521;0,000;0,000
32,550;1037,351;1037,351;0,000;0,000
32,580;1037,196;1037,196;0,000;0,000
32,610;1037,045;1037,045;0,000;0,000
32,640;1036,905;1036,905;0,000;0,000
32,670;1036,784;1036,784;0,000;0,000
32,700;1036,680;1036,680;0,000;0,000
32,730;1036,580;1036,580;0,000;0,000
32,760;1036,489;1036,489;0,000;0,000
32,790;1036,422;1036,422;0,000;0,000
32,820;1036,369;1036,369;0,000;0,000
32,850;1036,322;1036,322;0,000;0,000
32,880;1036,282;1036,282;0,000;0,000
32,910;1036,268;1036,268;0,000;0,000
32,940;1036,271;1036,271;0,000;0,000
32,970;1036,285;1036,285;0,000;0,000
33,000;1019,344;1019,344;0,000;0,000
33,030;1019,387;1019,387;0,000;0,000
33,060;1019,450;1019,450;0,000;0,000
33,090;1019,522;1019,522;0,000;0,000
33,120;1019,608;1019,608;0,000;0,000
33,150;1019,725;1019,725;0,000;0,000
33,180;1019,855;1019,855;0,000;0,000
33,210;1019,995;1019,995;0,000;0,000
33,240;1020,149;1020,149;0,000;0,000
33,270;1020,328;1020,328;0,000;0,000
33,300;1020,539;1020,539;0,000;0,000
33,330;1020,776;1020,776;0,000;0,000
33,360;1021,040;1021,040;0,000;0,000
33,390;1021,349;1021,349;0,000;0,000
33,420;1021,671;1021,671;0,000;0,000
33,450;1022,016;1022,016;0,000;0,000
33,480;1022,371;1022,371;0,000;0,000
33,510;1022,729;1022,729;0,000;0,000
33,540;1023,099;1023,099;0,000;0,000
33,570;1023,491;1023,491;0,000;0,000
33,600;1023,888;1023,888;0,000;0,000
33,630;1024,286;1024,286;0,000;0,000
33,660;1024,702;1024,702;0,000;0,000
33,690;1025,140;1025,140;0,000;0,000
33,720;1025,583;1025,583;0,000;0,000
33,750;1026,038;1026,038;0,000;0,000
33,780;1026,508;1026,508;0,000;0,000
33,810;1026,984;1026,984;0,000;0,000
33,840;1027,481;1027,481;0,000;0,000
33,870;1027,981;1027,981;0,000;0,000
33,900;1028,503;1028,503;0,000;0,000
33,930;1029,043;1029,043;0,000;0,000
33,960;1029,592;1029,592;0,000;0,000
33,990;1030,163;1030,163;0,000;0,000
34,020;1030,746;1030,746;0,000;0,000
34,050;1031,336;1031,336;0,000;0,000
34,080;1031,945;1031,945;0,000;0,000
34,110;1032,560;1032,560;0,000;0,000
34,140;1033,211;1033,211;0,000;0,000
34,170;1033,877;1033,877;0,000;0,000
34,200;1034,549;1034,549;0,000;0,000
34,230;1035,239;1035,239;0,000;0,000
34,260;1035,943;1035,943;0,000;0,000
34,290;1036,690;1036,690;0,000;0,000
34,320;1037,442;1037,442;0,000;0,000
34,350;1038,212;1038,212;0,000;0,000
34,380;1038,997;1038,997;0,000;0,000
34,410;1039,830;1039,830;0,000;0,000
34,440;1040,682;1040,682;0,000;0,000
34,470;1041,548;1041,548;0,000;0,000
34,500;1042,441;1042,441;0,000;0,000
34,530;1043,386;1043,386;0,000;0,000
34,560;1044,346;1044,346;0,000;0,000
34,590;1045,334;1045,334;0,000;0,000
34,620;1046,386;1046,386;0,000;0,000
34,650;1047,452;1047,452;0,000;0,000
34,680;1048,577;1048,577;0,000;0,000
34,710;1049,752;1049,752;0,000;0,000
34,740;1050,976;1050,976;0,000;0,000
34,770;1052,271;1052,271;0,000;0,000
34,800;1053,634;1053,634;0,000;0,000
34,830;1055,069;1055,069;0,000;0,000
34,860;1056,628;1056,628;0,000;0,000
34,890;1058,282;1058,282;0,000;0,000
34,920;1060,078;1060,078;0,000;0,000
34,950;1062,069;1062,069;0,000;0,000
34,980;1064,284;1064,284;0,000;0,000
35,010;1066,859;1066,859;0,000;0,000
35,040;1070,012;1070,012;0,000;0,000
35,070;1074,480;1074,480;0,000;0,000
35,100;1081,794;1081,794;0,000;0,000
35,130;1081,827;1081,827;0,000;0,000
35,160;1081,855;1081,855;0,000;0,000
35,190;1081,879;1081,879;0,000;0,000
35,220;1081,898;1081,898;0,000;0,000
35,250;1081,913;1081,913;0,000;0,000
35,280;1081,923;1081,923;0,000;0,000
35,310;1081,928;1081,928;0,000;0,000
35,340;1081,927;1081,927;0,000;0,000
35,370;1081,924;1081,924;0,000;0,000
35,400;1081,913;1081,913;0,000;0,000
35,430;1081,898;1081,898;0,000;0,000
35,460;1081,876;1081,876;0,000;0,000
35,490;1081,851;1081,851;0,000;0,000
35,520;1081,818;1081,818;0,000;0,000
35,550;1081,781;1081,781;0,000;0,000
35,580;1081,739;1081,739;0,000;0,000
35,610;1081,690;1081,690;0,000;0,000
35,640;1081,635;1081,635;0,000;0,000
35,670;1081,573;1081,573;0,000;0,000
35,700;1081,505;1081,505;0,000;0,000
35,730;1081,431;1081,431;0,000;0,000
35,760;1081,350;1081,350;0,000;0,000
35,790;1081,265;1081,265;0,000;0,000
35,820;1081,170;1081,170;0,000;0,000
35,850;1081,069;1081,069;0,000;0,000
35,880;1080,961;1080,961;0,000;0,000
35,910;1080,847;1080,847;0,000;0,000
35,940;1080,725;1080,725;0,000;0,000
35,970;1080,595;1080,595;0,000;0,000
36,000;1080,457;1080,457;0,000;0,000
36,030;1080,313;1080,313;0,000;0,000
36,060;1080,159;1080,159;0,000;0,000
36,090;1079,998;1079,998;0,000;0,000
36,120;1079,827;1079,827;0,000;0,000
36,150;1079,648;1079,648;0,000;0,000
36,180;1079,462;1079,462;0,000;0,000
36,210;1079,265;1079,265;0,000;0,000
36,240;1079,058;1079,058;0,000;0,000
36,270;1078,842;1078,842;0,000;0,000
36,300;1078,616;1078,616;0,000;0,000
36,330;1078,381;1078,381;0,000;0,000
36,360;1078,135;1078,135;0,000;0,000
36,390;1077,877;1077,877;0,000;0,000
36,420;1077,609;1077,609;0,000;0,000
36,450;1077,328;1077,328;0,000;0,000
36,480;1077,036;1077,036;0,000;0,000
36,510;1076,732;1076,732;0,000;0,000
36,540;1076,348;1076,348;0,000;0,000
36,570;1075,837;1075,837;0,000;0,000
36,600;1075,268;1075,268;0,000;0,000
36,630;1074,635;1074,635;0,000;0,000
36,660;1073,846;1073,846;0,000;0,000
36,690;1072,972;1072,972;0,000;0,000
36,720;1072,023;1072,023;0,000;0,000
36,750;1070,910;1070,910;0,000;0,000
36,780;1069,680;1069,680;0,000;0,000
36,810;1068,299;1068,299;0,000;0,000
36,840;1066,712;1066,712;0,000;0,000
36,870;1064,903;1064,903;0,000;0,000
36,900;1062,804;1062,804;0,000;0,000
36,930;1060,230;1060,230;0,000;0,000
36,960;1056,885;1056,885;0,000;0,000
36,990;780,227;780,227;0,000;0,000
37,020;758,939;758,939;0,000;0,000
37,050;752,953;752,953;0,000;0,000
37,080;748,203;748,203;0,000;0,000
37,110;744,182;744,182;0,000;0,000
37,140;740,594;740,594;0,000;0,000
37,170;737,358;737,358;0,000;0,000
37,200;734,349;734,349;0,000;0,000
37,230;731,576;731,576;0,000;0,000
37,260;728,961;728,961;0,000;0,000
37,290;726,531;726,531;0,000;0,000
37,320;724,191;724,191;0,000;0,000
37,350;722,005;722,005;0,000;0,000
37,380;719,927;719,927;0,000;0,000
37,410;717,917;717,917;0,000;0,000
37,440;716,042;716,042;0,000;0,000
37,470;714,243;714,243;0,000;0,000
37,500;712,502;712,502;0,000;0,000
37,530;710,870;710,870;0,000;0,000
37,560;709,319;709,319;0,000;0,000
37,590;707,809;707,809;0,000;0,000
37,620;706,380;706,380;0,000;0,000
37,650;704,996;704,996;0,000;0,000
37,680;703,659;703,659;0,000;0,000
37,710;702,380;702,380;0,000;0,000
37,740;701,141;701,141;0,000;0,000
37,770;699,954;699,954;0,000;0,000
37,800;698,820;698,820;0,000;0,000
37,830;697,747;697,747;0,000;0,000
37,860;696,721;696,721;0,000;0,000
37,890;695,738;695,738;0,000;0,000
37,920;694,783;694,783;0,000;0,000
37,950;693,923;693,923;0,000;0,000
37,980;693,131;693,131;0,000;0,000
38,010;692,355;692,355;0,000;0,000
38,040;691,564;691,564;0,000;0,000
38,070;690,771;690,771;0,000;0,000
38,100;689,976;689,976;0,000;0,000
38,130;689,178;689,178;0,000;0,000
38,160;688,378;688,378;0,000;0,000
38,190;687,578;687,578;0,000;0,000
38,220;686,774;686,774;0,000;0,000
38,250;685,968;685,968;0,000;0,000
38,280;685,163;685,163;0,000;0,000
38,310;684,339;684,339;0,000;0,000
38,340;683,502;683,502;0,000;0,000
38,370;682,649;682,649;0,000;0,000
38,400;681,777;681,777;0,000;0,000
38,430;680,893;680,893;0,000;0,000
38,460;679,982;679,982;0,000;0,000
38,490;679,066;679,066;0,000;0,000
38,520;678,123;678,123;0,000;0,000
38,550;677,170;677,170;0,000;0,000
38,580;676,214;676,214;0,000;0,000
38,610;675,228;675,228;0,000;0,000
38,640;674,230;674,230;0,000;0,000
38,670;673,233;673,233;0,000;0,000
38,700;672,235;672,235;0,000;0,000
38,730;671,237;671,237;0,000;0,000
38,760;670,240;670,240;0,000;0,000
38,790;669,242;669,242;0,000;0,000
38,820;668,244;668,244;0,000;0,000
38,850;667,246;667,246;0,000;0,000
38,880;666,249;666,249;0,000;0,000
38,910;665,251;665,251;0,000;0,000
38,940;664,253;664,253;0,000;0,000
38,970;663,258;663,258;0,000;0,000
39,000;662,262;662,262;0,000;0,000
39,030;661,266;661,266;0,000;0,000
39,060;660,272;660,272;0,000;0,000
39,090;659,278;659,278;0,000;0,000
39,120;658,284;658,284;0,000;0,000
39,150;657,294;657,294;0,000;0,000
39,180;656,303;656,303;0,000;0,000
39,210;655,312;655,312;0,000;0,000
39,240;654,325;654,325;0,000;0,000
39,270;653,338;653,338;0,000;0,000
39,300;652,352;652,352;0,000;0,000
39,330;651,368;651,368;0,000;0,000
39,360;650,385;650,385;0,000;0,000
39,390;649,406;649,406;0,000;0,000
39,420;648,428;648,428;0,000;0,000
39,450;647,451;647,451;0,000;0,000
39,480;646,478;646,478;0,000;0,000
39,510;645,507;645,507;0,000;0,000
39,540;644,539;644,539;0,000;0,000
39,570;643,574;643,574;0,000;0,000
39,600;642,611;642,611;0,000;0,000
39,630;641,652;641,652;0,000;0,000
39,660;640,696;640,696;0,000;0,000
39,690;639,745;639,745;0,000;0,000
39,720;638,797;638,797;0,000;0,000
39,750;637,855;637,855;0,000;0,000
